commodity,location,year,unit,irrigated,partial,none,unspecified
BARLEY,6,2012,BU / ACRE,84.4,42.2,43,
BEANS,6,2012,CWT / ACRE,24.7,19,18.3,
"BEANS, DRY EDIBLE",6,2012,CWT / ACRE,24.7,19,18.3,
"BEANS, DRY EDIBLE, (EXCL LIMA)",6,2012,CWT / ACRE,24.7,19,18.3,
CORN,6,2012,BU / ACRE,177,169.1,,
CORN,6,2012,TONS / ACRE,25.8,26.3,24,
CORN GRAIN,6,2012,BU / ACRE,177,169.1,,
CORN SILAGE,6,2012,TONS / ACRE,25.8,26.3,24,
COTTON,6,2012,BALES / ACRE,3.3,,,
"COTTON, PIMA",6,2012,BALES / ACRE,3.1,,,
"COTTON, UPLAND",6,2012,BALES / ACRE,3.5,,,
alfalfa,6,2012,TONS / ACRE,4.53,3.33,2.22,
alfalfa hay,6,2012,TONS / ACRE,6.5,6.4,3.8,
HAYLAGE,6,2012,TONS / ACRE,10.55,8.5,8.25,
alfalfa haylage,6,2012,TONS / ACRE,6.9,6.1,5.3,
Grass Haylage,6,2012,TONS / ACRE,14.2,10.9,11.2,
"HAY, SMALL GRAIN",6,2012,TONS / ACRE,4.5,2.6,2.1,
"HAY, TAME",6,2012,TONS / ACRE,4.7,3.2,2,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",6,2012,TONS / ACRE,4.7,3.2,2,
Grass Hay,6,2012,TONS / ACRE,2.1,1.4,1.4,
OATS,6,2012,BU / ACRE,104.5,86.3,63.4,
PEANUTS,6,2012,LB / ACRE,3114.6,,,
RICE,6,2012,CWT / ACRE,83.1,,,
SORGHUM,6,2012,BU / ACRE,87.5,123.2,94.3,
"SORGHUM, GRAIN",6,2012,BU / ACRE,87.5,123.2,94.3,
SUGARBEETS,6,2012,TONS / ACRE,43.5,41.2,,
WHEAT,6,2012,BU / ACRE,95.4,76.7,58.1,
spring wheat,6,2012,BU / ACRE,90.7,,,
